iter	Logloss
0	0.6491060095
1	0.6121006664
2	0.5721677902
3	0.5376607086
4	0.5055662503
5	0.4729588769
6	0.4464785462
7	0.4204922059
8	0.4017995254
9	0.3816871217
10	0.3624291273
11	0.3431517893
12	0.3288735052
13	0.3153320436
14	0.3030972052
15	0.2901778275
16	0.2769765507
17	0.2657915506
18	0.2568503322
19	0.2480407808
20	0.2402721486
21	0.2327442186
22	0.2269677417
23	0.2203669946
24	0.2133406448
25	0.207450493
26	0.2006198076
27	0.1951378651
28	0.1903259124
29	0.186096878
30	0.182001029
31	0.1778532433
32	0.1726287491
33	0.1689039864
34	0.1647732064
35	0.1615239269
36	0.1581954601
37	0.1548779827
38	0.1524274282
39	0.1496902231
40	0.1467344157
41	0.1435304709
42	0.1409727047
43	0.1386385615
44	0.1363606891
45	0.1342326943
46	0.13186071
47	0.1301102667
48	0.1280162362
49	0.1260774871
50	0.1243025864
51	0.1224815347
52	0.1208297562
53	0.1194043567
54	0.1180555256
55	0.1161860781
56	0.114955425
57	0.1137086376
58	0.1125129055
59	0.1111569507
60	0.1100663795
61	0.1089324312
62	0.1078310836
63	0.1066615249
64	0.1056151983
65	0.1045086521
66	0.1033021542
67	0.1022704853
68	0.1013813702
69	0.1004575055
70	0.0994902169
71	0.09872221609
72	0.09782628662
73	0.09708398157
74	0.09635068382
75	0.0957427251
76	0.09469976365
77	0.09382643848
78	0.09326273624
79	0.09269331488
80	0.09203134001
81	0.09128611029
82	0.09073222663
83	0.09042837159
84	0.08957647635
85	0.0889567123
86	0.08846974859
87	0.0881164366
88	0.08761936208
89	0.08711776254
90	0.0866150725
91	0.08600153652
92	0.0853634682
93	0.08488593342
94	0.08440233048
95	0.08379199053
96	0.08342482048
97	0.08270416709
98	0.08233297293
99	0.08168020286
100	0.08116416078
101	0.08086320068
102	0.08052467805
103	0.08016993566
104	0.07984291739
105	0.07936169851
106	0.07904092533
107	0.07875162903
108	0.07838783354
109	0.07786127944
110	0.07759731161
111	0.07741771958
112	0.07690912493
113	0.07644582275
114	0.07596581062
115	0.075611866
116	0.07524680156
117	0.0748041835
118	0.07450845133
119	0.07418662533
120	0.07401393292
121	0.07366294186
122	0.07321294603
123	0.07282160089
124	0.07256358471
125	0.07209630535
126	0.07173774254
127	0.07140282086
128	0.07111674537
129	0.07070234124
130	0.0705936369
131	0.07022078063
132	0.06994884041
133	0.06966334276
134	0.0693142666
135	0.06903637412
136	0.06883065062
137	0.06862666888
138	0.06820204648
139	0.06807093048
140	0.06765158168
141	0.06737813557
142	0.0670389661
143	0.06677932964
144	0.066387534
145	0.066028261
146	0.06573325671
147	0.06559093433
148	0.06528567065
149	0.06501683655
150	0.06483910746
151	0.06449244707
152	0.06415597547
153	0.06397923413
154	0.06371254367
